qsrank	statename	overall	Fitness	Routine	Nutrition	Sleep	Weight	Diabetes	arts	engineering	life	natural	social	id
1928	Salem	39.39055077	93.19964425	59.30911601	94.19552989	57.83341858	64.27969274	88.58002087	77.01111086	75.10953734	32.03482621	12.39596797	85.13847551	37011
1929	Somerset	34.31708045	53.31033296	24.08705993	74.06879848	74.3003909	11.72689287	25.80148671	59.17952213	48.47676472	76.04828093	25.01246872	49.09803066	37013
1930	Sussex	49.67664031	96.7475608	29.57026105	42.10558584	26.67441631	7.5493058	11.04533082	57.73761557	96.55382385	68.447079	41.65643604	49.42193935	37015
1931	Union	98.05242653	19.89770431	38.45823016	33.28232445	19.83928322	46.27219316	74.84207011	89.31832776	69.49821685	68.59151617	20.75225295	88.73013073	37017
1932	Warren	43.74344827	65.01006792	63.66646449	4.28234852	99.76517646	23.94938806	53.67332261	50.42276989	97.45823552	48.83320095	4.606407289	30.67651865	37019
1933	Bernalillo	96.92862373	0.119914075	47.1920609	82.97942319	77.11685347	0.775265405	18.85559076	14.63088086	44.36687585	30.99101477	69.01814266	38.43434126	37021
1934	Catron	61.14696151	54.20016683	42.05603813	42.41386493	10.30412216	27.74553243	72.6695359	57.58205531	30.30240241	4.401928953	83.23059244	57.4823855	37023
1935	Chaves	45.46064818	69.81829126	83.94366831	0.5010653	77.0501158	66.88357808	73.52348742	22.80355992	20.31440704	11.64004238	72.57298799	16.77030509	37025
1936	Cibola	53.10343536	91.14093245	69.16887409	42.37349085	92.01649441	83.6531653	19.84712051	90.34152135	75.185749	46.19515566	16.98113918	88.84699207	37027
1937	Colfax	34.87023265	33.20548213	69.95838107	68.08712138	62.07289696	94.93917455	75.32945068	84.14258497	99.8476056	14.19738837	91.37719813	48.19296171	37029
1938	Curry	90.22061481	43.78111677	57.90787479	77.67312157	78.62821019	62.03507289	60.87224518	30.03828122	50.20967058	99.19397367	98.70609235	23.48439379	37031
1939	De Baca	57.66588271	38.91732673	60.97870262	23.1302007	21.980979	33.21747295	32.95516032	45.53772384	2.899649624	62.98810111	15.47187788	89.49860696	37033
1940	Dona Ana	36.96194038	72.75634419	64.32600727	63.70594193	32.48012852	18.58011576	45.2184519	90.46718588	95.9779688	96.02130795	98.00134537	3.977932415	37035
1941	Eddy	90.22618402	78.5550286	21.67089933	67.75661159	63.00517508	12.62595467	53.30874418	43.01089689	80.94945894	57.36418079	55.07203865	32.78695348	37037
1942	Grant	69.84603331	61.60626656	16.40122667	45.91759463	99.77621048	48.04066365	90.67114763	26.56931319	25.74116692	48.12427848	36.11257184	13.79233808	37039
1943	Guadalupe	43.99909352	67.11370281	53.29851636	19.99147184	25.82741292	8.900332834	18.10981504	38.8048746	87.82842638	25.52232405	78.2100555	85.15625269	37041
1944	Harding	89.36317251	90.31031217	56.24210271	64.68348975	31.07456326	51.3327085	49.21004495	85.1361303	3.885059863	45.42027407	67.55507887	46.73686005	37043
1945	Hidalgo	4.982115352	99.43885619	5.811750305	75.1288616	37.24894914	55.28051606	34.07711274	64.41022641	82.47165045	16.61922117	14.47305558	26.79014206	37045
1946	Lea	47.61718709	45.35719782	95.54211597	75.19917568	56.94967098	68.79782652	85.20211485	29.41121294	61.33173331	25.05227574	95.80174773	71.08346921	37047
1947	Lincoln	84.49012045	81.1981774	36.77178269	91.06755961	80.64739757	62.26158006	15.90060333	95.93748286	74.03755629	3.491565667	26.07212763	7.54526904	37049
1948	Los Alamos	7.161310277	28.99054464	56.90247852	1.197328627	21.03568311	98.4073955	50.77597942	35.06691822	65.41511422	10.62522197	27.64360518	95.75174685	37051
1949	Luna	73.10669018	82.34229168	47.19252503	22.24789933	82.58393173	36.16686506	12.81228395	60.463961	38.71519024	36.58157233	97.84971093	37.53083367	37053
1950	Mckinley	58.14610255	88.26713792	68.10010046	60.41267762	86.92383996	31.05234399	16.35164016	49.48932769	30.02272899	85.36749104	46.71422834	71.16008771	37055
1951	Mora	8.553426773	74.12345185	90.79643997	14.94243631	19.3563211	65.84788368	39.5223386	88.76045786	92.99445373	60.02412042	41.43793508	43.49439137	37057
1952	Otero	94.4249713	27.51569331	21.17069533	65.62562193	52.08644601	33.4120158	82.04817043	55.75114984	38.57366742	21.79987246	90.25358501	98.97409211	37059
1953	Quay	39.20720776	21.63637017	81.64130885	54.23292327	47.68400461	24.70190916	25.64677497	30.77488473	65.05988209	15.8378488	25.9169832	16.00295787	37061
1954	Rio Arriba	51.97021443	3.361502611	90.08816633	96.82414466	51.96175846	65.59474444	78.78780673	64.22015435	12.61436644	27.0812117	91.64862851	45.21387757	37063
1955	Roosevelt	5.316262753	17.51070679	28.26392596	64.43201588	88.8853717	80.99338645	93.22555493	11.99761798	26.62725005	61.94186505	39.11507541	80.33776568	37065
1956	San Juan	6.174784961	76.60263125	2.599873179	20.4039029	56.31492765	39.20043079	66.25194629	14.22287904	63.23735459	50.05183898	3.20744107	92.92020223	37067
1957	San Miguel	21.73425067	25.96108375	26.33728606	12.77419887	73.95867934	9.644088952	28.10262246	35.82658713	40.05402548	85.23908473	45.91570048	48.7471835	37069
1958	Sandoval	56.67936001	53.48049732	0.554982022	20.74247191	31.23781418	7.021293995	45.41114289	45.67784497	91.23823306	27.79856857	96.92893401	21.30774366	37071
1959	Santa Fe	35.91407366	90.58381377	58.78159838	1.905858001	11.00100857	62.92888226	4.396391853	50.49214145	47.83485735	67.13843408	5.139074259	25.33238147	37073
1960	Sierra	46.43011983	83.83792182	59.17674497	59.56182306	74.04987761	92.14400485	6.254298331	26.5912493	88.83254343	45.57232499	31.08624076	95.5115695	37075
1961	Socorro	7.917615509	50.55528443	2.80447984	9.738274972	3.283702859	85.9606239	21.87108244	88.46504618	77.12469035	29.89135942	49.45413276	43.92132847	37077
1962	Taos	56.87904203	26.44927592	18.10473406	57.18211551	19.01308015	84.16402017	38.90144453	5.046096569	7.777675896	62.13244144	42.63950612	21.43190371	37079
1963	Torrance	92.52029054	21.27263262	24.92969763	81.56073957	79.59978508	74.17616292	36.48799487	63.01810823	24.8924225	8.064483076	57.05651068	17.16399173	37081
1964	Union	45.31811301	78.63627741	62.80103653	22.42706716	92.90634462	72.87319832	26.76029917	42.68115064	85.67458685	68.55470394	13.409014	7.691094136	37083
1965	Valencia	26.64627186	53.34635966	92.93469618	70.08869448	98.64572478	41.01067365	46.73140101	2.478036939	55.64258127	92.21979013	75.62218906	28.25825583	37085
1966	Carson City	62.78250789	95.25361246	15.60985886	54.38389142	57.6369553	44.49073782	25.99415889	81.92949122	63.59306325	92.64252402	76.63882439	42.03261867	37087
1967	Churchill	62.93981163	70.88624785	25.3248635	20.84166489	71.18603824	99.75991166	74.28764676	40.55053752	46.46937684	2.809977938	84.16564493	66.56848379	37089
1968	Clark	92.23099442	69.61090191	59.45524839	73.90775714	86.05031238	51.60550532	90.25529668	78.39358713	99.4304346	29.60890606	36.00114929	26.4295609	37091
1969	Douglas	40.45255675	55.20344098	1.330340604	11.26919787	63.51406116	30.36065082	30.11330958	50.18451687	89.7523779	56.60730786	5.550193676	25.75618677	37093
1970	Elko	73.52871328	95.30352767	44.69461428	52.72673925	3.426817859	97.23537005	79.29550274	39.69123209	55.58172149	60.54169032	79.31175831	10.70232651	37095
1971	Esmeralda	19.12416032	90.19861924	95.801714	2.707619246	56.10849864	5.638200948	21.11646455	76.10225153	33.77247445	78.71207524	46.04310023	24.63810664	37097
1972	Eureka	82.54087196	69.71805173	46.41869339	85.35410583	64.71488508	34.78463589	1.221702743	2.953522755	19.60702568	1.962799902	72.51067469	27.63320105	37099
1973	Humboldt	20.1915526	97.24065474	38.09160489	66.50353178	79.12887149	73.82540275	64.60674614	7.352531628	38.51097972	48.19832057	41.94382775	45.7341641	37101
1974	Lander	64.11052003	75.10616855	35.72542549	7.095140971	11.10219034	78.60044034	50.24881405	31.48057026	27.11225686	53.65505093	88.96139438	91.84852969	37103
1975	Lincoln	49.0483932	52.68345984	58.55645333	12.6435426	21.28364904	71.3279752	44.26434803	71.88165433	72.69534894	23.87796173	54.53429588	34.21185771	37105
1976	Lyon	29.52709189	3.910222001	91.32793067	75.39149389	10.59279686	31.9266169	25.48050623	72.51314323	91.72482514	80.53216346	94.96190937	2.526514749	37107
1977	Mineral	28.43061255	7.44981639	58.47918363	76.97397098	12.8827452	82.2351266	58.10856392	12.36377134	73.60546049	54.24829862	54.20161696	75.24726999	37109
1978	Nye	19.06161287	4.042314817	21.32573797	12.90579004	7.404012082	36.47784838	6.923135233	62.32212377	46.00586259	45.80213669	28.32639947	32.86578281	37111
1979	Pershing	46.47831845	11.88996622	92.84412288	61.17384638	97.39324664	42.1179677	86.18865827	45.59579304	13.73490357	68.33268277	13.82082513	94.85430597	37113
1980	Storey	14.61332376	84.57344141	53.74253047	39.7568075	46.18841993	92.63405097	63.4699689	24.72217242	36.79343052	61.74321058	67.48925141	30.28638836	37115
1981	Washoe	74.14773641	1.446561121	41.00263848	10.10563215	17.37275749	90.33705104	11.13172199	61.50111098	30.66397801	93.81237491	76.28056891	6.224389467	37117
1982	White Pine	74.32369119	16.56469677	22.45252744	72.34617837	70.10655185	57.06412713	82.70556614	64.09485553	58.55205535	65.53293362	69.75597621	42.16931138	37119
1983	Albany	25.78679076	26.39121045	27.27260663	82.5560954	83.07838697	64.75596388	54.26495173	77.32177154	32.2358532	84.04018467	42.42398006	5.917640055	37121
1984	Allegany	31.52994614	45.1647533	23.49880173	98.37018514	17.60731812	4.476480312	85.56212739	75.13591628	36.69691196	16.77102908	1.074844447	59.027756	37123
1985	Bronx	12.88151628	24.82981725	58.54141495	74.81968566	5.075051523	24.06846469	82.20004356	35.61638127	49.5077964	36.8539044	3.213213413	85.77360066	37125
1986	Broome	86.93959909	7.018494004	1.756444215	67.68370168	49.26778351	68.39570543	5.68468882	3.691439392	28.7710179	55.97747035	70.52917959	81.10894254	37127
1987	Cattaraugus	15.81483848	53.98324381	52.65034306	87.99164806	39.04630143	7.117895201	96.37858668	48.30279888	5.264211983	21.39252799	16.82532647	14.22513977	37129
1988	Cayuga	48.10822443	64.73408682	7.853418958	30.69355732	44.79884337	0.924951158	84.82162062	77.04815191	30.48797882	30.37647614	60.35408672	96.23754283	37131
1989	Chautauqua	38.4633771	27.41919419	1.604879976	27.86255504	86.99762794	42.24071259	59.75446286	40.59731004	76.04540048	77.02025096	3.641812399	3.731463403	37133
1990	Chemung	82.81947335	82.19617695	16.19870399	40.54471541	5.848417236	13.95143803	7.675311651	50.93554564	60.15341472	66.43463783	83.76119766	69.09442707	37135
1991	Chenango	41.98174745	77.37568977	34.59784405	91.0253859	74.87809951	88.03205793	74.19400615	24.18970484	20.17146382	3.063950162	44.92952067	6.562977067	37137
1992	Clinton	67.60180843	10.76198547	55.83173201	70.95576243	53.61334601	65.00412971	34.04958258	36.29593577	41.98571267	45.38558424	1.414997314	43.04033627	37139
1993	Columbia	81.22300214	63.99364514	5.355989315	50.62088066	1.333040624	40.16880206	54.83066667	22.19424653	18.74032104	42.3215767	71.71948084	51.14782361	37141
1994	Cortland	43.43077961	42.95054013	3.837317723	8.306462701	16.43287179	51.05063961	16.38742631	71.08683243	37.44926671	26.47228169	44.70111292	48.95293428	37143
1995	Delaware	58.14302246	48.91465338	26.98170769	9.781566682	17.34464789	36.85085206	4.976570808	2.155322476	89.72001945	28.87311205	98.22784513	37.05650331	37145
1996	Dutchess	29.14665816	40.25060845	96.24743945	94.62062136	40.35095227	26.27866316	77.20918586	0.228952754	72.17185846	77.53764984	79.84247434	95.62315598	37147
1997	Erie	3.71984711	87.36916751	12.30381532	31.58096505	43.01260755	31.01205012	94.26373116	62.82361828	41.20875078	65.13499352	80.76503609	74.81586803	37149
1998	Essex	23.24982008	38.37841314	2.57908091	0.092781139	66.86061365	95.71469611	32.26565939	19.53974258	85.88102891	98.18306193	92.57401786	82.10424754	37151
1999	Franklin	49.11238143	36.13236109	22.47708106	90.59387345	4.666825653	64.702394	24.79447459	15.73947614	80.05395669	84.78175857	70.81850984	35.88183064	37153
2000	Fulton	59.54313871	79.26154746	63.71964215	2.387362617	9.624820165	86.83065316	92.2978186	18.22422139	0.551215638	41.38122849	75.17519083	88.76286349	37155
2001	Genesee	52.97288682	4.992586136	4.706690226	20.6905323	44.15152703	1.085658785	7.858036982	43.28455958	66.17992006	68.32201138	83.7197451	81.34222224	37157
2002	Greene	22.97660594	47.4123999	35.26613855	56.18699447	21.38165378	67.25844556	54.80040975	90.08927499	65.38739777	48.93201875	20.18079186	59.75382736	37159
2003	Hamilton	0.62300353	27.29221092	62.54823646	98.70544082	88.82414548	75.35856762	11.72477386	43.90046205	96.80233454	79.73856433	50.06667848	21.92790129	37161
2004	Herkimer	95.29544241	4.047672473	32.04362563	21.89469851	67.83254014	36.31393415	39.36705237	28.39879984	19.86113793	69.92246127	41.17824567	18.47756261	37163
2005	Jefferson	45.9097061	64.3133453	71.69231622	45.80799209	89.0106579	58.9789449	62.99582577	95.08562805	74.03710243	66.27804396	16.53527706	88.54160104	37165
2006	Kings	80.26806979	39.04126963	39.17401467	30.04762467	52.61445771	1.637168666	3.266350297	20.18418229	33.35371716	49.56515336	97.89573052	31.55277157	37167
2007	Lewis	49.16396588	77.98849844	69.08641549	7.30393136	49.2149682	96.92084944	78.90658233	89.02130428	93.76272635	88.19489021	50.48827353	66.37160316	37169
2008	Livingston	42.29518462	74.49965855	40.10073509	36.9768724	29.38854106	17.51632376	24.22546508	45.92131287	29.45997377	70.07923093	29.1539577	50.83848723	37171
2009	Madison	13.52563533	57.31599871	93.3853379	61.15088486	52.72400197	45.35678927	77.71335669	66.10861376	4.397955718	78.75603918	60.8906295	83.65829571	37173
2010	Monroe	14.84448022	81.36758608	30.21393223	49.32420732	92.15460634	6.973331954	51.01761329	94.57389266	68.10109161	13.21317005	75.71774941	66.30327078	37175
2011	Montgomery	43.53090797	59.03042899	51.79080805	87.48954489	70.12191397	28.59414072	40.09225521	30.79449892	79.0250063	77.68031624	32.11586448	77.44557475	37177
2012	Nassau	17.2274161	74.97375994	16.49527932	44.25201993	1.906234257	51.76037003	23.86923173	20.42264567	28.69429608	66.28031364	6.33686764	92.99118305	37179
2013	New York	81.00595824	90.47021766	74.04763309	88.13688227	47.20897504	14.2849661	81.83178262	0.257988999	98.6257899	60.16427882	22.4581329	98.72553058	37181
2014	Niagara	9.551207391	18.11377877	78.34440209	72.52380753	63.43472446	56.17454963	49.97045522	29.66566979	66.73194303	93.04890871	92.84647522	72.64591743	37183
2015	Oneida	30.81935253	9.367985696	45.37281166	5.133827086	65.82032234	87.85268839	6.524609138	19.61321775	78.37473556	31.80048029	0.859641827	36.52852664	37185
2016	Onondaga	34.01152974	66.92394448	77.22513542	2.837232293	18.00329931	56.19033511	88.05811044	29.39734081	89.88881061	52.05589458	7.528774194	16.26975934	37187
2017	Ontario	52.30415778	17.15501371	53.12660907	15.02674745	62.39104907	59.54974893	1.851456468	73.80062084	2.779481988	59.89659821	49.87296328	67.05227209	37189
2018	Orange	62.15846186	32.07829449	49.59709622	81.47185518	90.69626207	0.35116007	56.12414631	63.165773	54.26792156	7.94129729	3.674595084	17.34462624	37191
2019	Orleans	45.95483717	71.50043662	76.03957135	46.03615411	74.13543376	37.59565241	23.7726334	98.36061786	32.45957735	25.50327509	6.050258635	13.92781039	37193
2020	Oswego	92.01123291	88.57542713	67.34862694	33.16966362	83.30334559	74.46625734	92.56600021	97.43696106	45.75642904	42.32569119	14.33040244	97.62805498	37195
2021	Otsego	28.63952691	11.10439759	13.46179863	15.05664624	39.18140467	31.77960345	71.2051545	82.71894203	91.62726464	28.22200956	76.79160597	89.5016105	37197
2022	Putnam	50.98899274	33.81313527	22.2704108	92.90238049	43.72223511	25.67395492	61.74653221	30.65313555	36.56152604	19.279921	6.474599331	30.83168095	37199
2023	Queens	96.8190898	33.97790739	78.73904529	31.63301908	15.08492877	87.59921212	87.83814329	31.03234729	34.54349441	28.44590452	53.15103378	53.03774653	38000
2024	Rensselaer	63.92340895	90.91119564	15.95843935	18.36153173	35.39376302	63.70943572	63.63652692	95.62479076	24.933251	94.15310414	45.38543535	65.87810501	38001
2025	Richmond	95.69915528	84.96447817	56.89141272	86.23357842	78.08668014	18.92632776	52.31711134	51.98791538	79.93102799	60.15564235	77.52052283	71.23577866	38003
2026	Rockland	17.53806998	63.58524586	7.331094714	5.869735598	93.61175881	29.86565589	70.73351914	81.13687268	26.10081979	61.29392135	80.89507937	54.50485199	38005
2027	Saint Lawrence	77.47990503	35.88202129	59.72946974	99.86313383	1.114504937	47.31766577	41.94233504	42.74779334	12.02779597	70.28407904	30.78642788	46.04974326	38007
2028	Saratoga	0.785770792	58.1851828	46.35550446	31.25998746	61.5627552	27.08803211	61.27010587	75.78001549	56.72124975	86.66020598	49.24298973	1.57512424	38009
2029	Schenectady	53.11719724	88.95700905	38.31786471	19.50120548	64.46633557	63.53749819	81.36027901	99.44157183	26.64152769	21.38961308	89.26156452	24.87180792	38011
2030	Schoharie	41.48032131	80.57811683	99.8846394	65.46409769	44.78299769	69.36522002	42.89475794	98.25316553	17.45306451	84.57269185	4.195170738	56.34232839	38013
2031	Schuyler	7.47928831	49.9474423	94.88428582	73.85160709	13.28774335	77.01125968	10.60931224	54.67035345	28.33990596	52.54767029	59.96977972	80.39344211	38015
2032	Seneca	82.84621412	44.60511912	31.82826177	29.06748346	63.00389918	46.95851543	52.58727394	15.68724028	74.56364745	61.21156579	91.17120249	29.10793079	38017
2033	Steuben	24.89587626	54.67073277	99.2670639	15.41801318	79.34598691	69.41168136	97.84103836	84.61770826	68.61530517	40.8055648	15.16699923	9.910734298	38019
2034	Suffolk	52.10150059	86.85855588	19.10858165	33.89542638	70.05234231	29.51248188	99.48905393	63.15283384	90.63335643	63.90422802	77.03342371	97.40296933	38021
2035	Sullivan	18.11661616	90.08126533	79.77099907	75.87317059	76.27509509	56.00802324	41.56134922	12.55518795	35.99478334	63.71940891	95.52841984	84.25593253	38023
2036	Tioga	28.58577131	46.1655043	14.33640744	47.02008961	65.66532281	60.80922594	24.56132334	49.2816946	52.63840221	27.34386018	49.58266342	49.75191308	38025
2037	Tompkins	73.6034189	22.07661883	74.13641243	53.23117047	40.60526871	34.99464894	94.06832992	82.90896405	78.85028177	22.28768739	25.24672267	92.18927685	38027
2038	Ulster	63.02530722	14.89407496	94.22867662	28.1335933	13.53120343	41.7964842	95.39922797	20.55425986	74.91745568	4.813177567	42.35997715	67.52121761	38029
2039	Warren	83.18700651	52.37938041	93.5641716	3.550682728	88.49739073	42.43051688	79.46978178	38.44911412	12.42233674	25.06485288	28.23370331	69.14372271	38031
2040	Washington	30.72470055	15.27385544	77.97794561	42.05188754	63.63754521	23.64777551	0.201625631	89.85365839	57.73436043	52.81638167	84.40997162	43.17976793	38033
2041	Wayne	23.96030684	41.86475625	93.97652526	70.79772644	48.91304621	57.02262718	14.77070568	42.32429388	88.05690875	71.37148188	72.15415838	37.68846068	38035
2042	Westchester	35.85637935	5.622836867	43.65437213	45.85199936	91.26375673	8.554028784	62.07470513	53.8832193	43.12852634	83.93244887	76.29866058	49.51661107	38037
2043	Wyoming	31.15011854	14.96221392	20.34735798	87.73416149	35.75637264	47.34511798	35.30540611	78.7195217	22.20484403	64.13717124	1.515463691	27.168014	38039
2044	Yates	39.95980255	89.9380064	86.93777838	1.79208399	40.8943084	31.52419044	56.56918922	32.63713527	59.50519464	10.90533068	62.01665572	82.44814345	38041
2045	Adams	66.55885227	21.17573102	42.3178754	0.878932124	98.84390639	34.67362739	23.96531335	42.46492014	84.20127951	10.1242702	41.35854619	77.55362464	38043
2046	Allen	4.83618924	28.0917705	90.58514967	20.8706175	13.23079232	50.36440423	88.37618804	7.355645731	17.76313835	34.87924598	1.01192651	54.68048944	38045
2047	Ashland	96.49819131	54.44285427	79.97265158	35.99519929	60.0700076	48.67279842	11.80941373	32.8214972	85.76347253	59.87636991	81.70050098	53.00939183	38047
2048	Ashtabula	48.66305767	29.06028943	44.47706045	95.0134022	18.2835921	90.5839079	37.36407373	34.32074562	6.556777935	54.08818924	75.91766321	8.591110548	38049
2049	Athens	52.53032122	57.17517405	52.83356282	97.39494448	42.30759025	13.59364166	90.4865561	99.11196618	53.27017417	10.84221835	32.89226864	16.63980527	38051
2050	Auglaize	91.33416996	0.5085128	82.44393246	70.74502061	41.57465918	93.23302644	86.88963432	91.43538845	59.5473622	53.26207755	21.25769931	79.0777099	38053
2051	Belmont	89.3127288	83.64342941	11.37570066	7.1565854	42.43207436	12.63537788	27.91295203	17.49789124	81.84961844	4.558228581	9.419952438	67.42430369	38055
2052	Brown	52.73935111	75.61818671	22.84020401	10.75816363	35.67867131	1.646002614	73.13467391	44.20942357	59.74791122	87.26618359	86.13692704	71.49335815	38057
2053	Butler	90.73885725	13.13712827	8.961867455	92.27754658	44.56106167	49.65912788	10.88378916	92.47462374	93.83656681	80.14679972	36.29302704	4.045335459	38059
2054	Carroll	52.49439225	80.24997322	88.65938901	27.6276555	1.974469993	83.71097219	31.39791283	80.35395808	80.78450192	29.20237391	7.513602273	4.529305025	38061
2055	Champaign	17.69440542	97.42687487	17.68414026	74.3607916	25.42516234	78.34091233	0.122966697	86.00690296	2.048326171	28.49783418	74.49946081	5.846686803	38063
2056	Clark	60.82749653	50.27411139	1.208368981	61.16614523	45.73960319	18.49234714	94.85382554	16.13556502	61.09760692	98.37684093	64.42803431	77.80414183	38065
2057	Clermont	1.434318483	59.19767733	5.253866131	76.39105389	99.57069022	93.07297351	50.43873925	3.551277779	59.73502815	58.5409202	80.43304448	33.77538095	38067
2058	Clinton	37.73917909	25.71101766	31.12873037	84.05931678	6.70313572	48.05146346	55.82405074	29.44548336	44.33144338	29.90416999	17.7590494	89.38849836	38069
2059	Columbiana	15.65828812	26.11734693	30.23212984	24.62066763	80.20623701	2.892195525	99.4732561	45.35584898	6.806818255	44.29522889	13.7044727	32.82384143	38071
2060	Coshocton	86.25618624	42.89249021	95.90734054	97.28794072	59.74460066	47.23511462	19.24837363	10.73554288	59.34350742	30.31577793	99.01738965	58.18365449	38073
2061	Crawford	85.61122962	80.11342767	6.945969401	8.959437804	13.0623931	50.45837088	83.71392834	39.9492263	16.19298932	82.24991848	57.28945155	81.61425767	38075
2062	Cuyahoga	50.19330719	40.56914645	24.88034505	29.54925006	90.32353955	3.737575025	89.72128311	2.012130489	18.42142082	21.66699388	85.67884035	77.96249636	38077
2063	Darke	95.53272186	25.30154253	21.40233399	79.01167538	34.2745995	46.57774333	49.61504862	16.9537138	82.20862665	6.482423727	66.47481006	67.31103885	38079
2064	Defiance	9.351371973	42.92149544	74.45344107	99.93029723	71.06125931	42.29137585	12.43386783	29.36642805	60.82225765	79.76201386	95.37243245	8.789149806	38081
2065	Delaware	53.72840657	81.56426646	66.31706797	88.74161746	5.833446672	95.96516247	9.530121904	28.39390678	10.86337917	25.7115056	59.26358919	36.4837594	38083
2066	Erie	41.01900319	17.74036016	78.5286553	57.47988467	68.98971678	0.889940069	32.03547114	87.5929409	38.36473088	71.10820941	25.66918289	72.92308158	38085
2067	Fairfield	46.00756282	29.54109247	21.141387	29.57789916	90.61336233	73.93979991	41.2193747	20.01685508	85.390143	17.61570922	61.91584243	67.94593184	38087
2068	Fayette	38.8845235	96.02695498	41.33743922	31.98611433	78.97803867	21.42034573	14.24898269	77.90376754	55.71999156	18.83337891	96.91665728	76.6796571	38089
2069	Franklin	63.48951758	42.99817254	84.35604616	95.86262006	59.37116539	70.47184195	44.52386292	38.61995804	55.00240047	86.23463382	11.39330813	97.61731434	38091
2070	Fulton	37.61684612	49.83192266	38.27588715	36.30184178	21.8870704	45.40410272	80.69690626	48.75278407	18.71870917	55.67169018	7.130656425	61.75795703	38093
2071	Gallia	56.97439452	96.33453009	67.29362147	42.67596464	86.65193516	2.800015788	35.53820543	46.73589492	96.28307536	92.78495949	23.31542439	52.3203632	38095
2072	Geauga	95.65286934	4.764726573	71.36976888	67.92761012	40.51538142	95.41742313	28.69111716	44.81573425	63.45943369	44.58867511	65.2767559	18.68092374	38097
2073	Greene	42.3352065	16.98404907	11.84163417	8.013581484	94.33742577	99.06530071	49.09257013	28.53647194	8.806783784	77.75895948	26.54468317	28.2419885	38099
2074	Guernsey	1.576992067	49.57984526	62.91086791	28.96184781	54.78898272	79.53495111	77.23945392	68.63156092	4.984431538	10.59443627	32.44719048	37.88458552	38101
2075	Hamilton	77.99943049	30.22895549	5.770936332	51.36213522	7.918498903	35.90808126	74.33697204	48.62359059	66.07238647	32.37932522	75.34608874	45.0324115	38103
2076	Hancock	4.216159776	90.05007791	18.9513619	85.78578164	8.220370403	53.67404238	8.88875323	27.66003164	0.554665862	7.679865199	95.46756867	14.18179896	38105
2077	Hardin	1.545591198	97.75988558	12.16788595	88.85268294	42.19391789	69.62786984	97.30188117	7.80148898	51.84966445	94.8715201	12.62440394	23.06255633	39000
2078	Harrison	37.69625297	35.68861247	50.65972073	83.14121207	25.02265166	84.53081609	10.71672455	3.845045751	18.0773906	63.25365389	27.90405405	36.7310993	39001
2079	Henry	90.94157358	59.08503028	1.333339543	81.24967021	91.81066315	0.442811817	20.86287098	94.08091916	4.989528902	23.8357546	13.65525259	39.66092935	39003
2080	Highland	96.86661571	36.42889505	80.14510284	37.89202812	38.51237077	21.32619726	3.123562045	71.42367545	16.61865965	97.95335592	67.33853131	45.36157137	39005
2081	Hocking	96.22251014	19.98134855	32.38833768	62.65870301	7.368394447	4.209949212	33.3239729	93.02862293	73.86329328	55.25689535	27.26841822	89.82698802	39007
2082	Holmes	63.22517585	33.45358007	73.18187449	1.889375595	38.25388841	19.27411945	9.918617201	65.34738732	34.31831848	45.8723416	92.11280216	60.55819075	39009
2083	Huron	17.12382544	55.17380231	66.05875791	73.95288892	13.0397826	92.99061987	25.92830712	87.4296846	79.24987407	37.75604473	95.27649199	74.00859632	39011
2084	Jackson	76.26232881	83.90920772	16.92228367	83.47673379	64.05612174	34.56353287	62.55352368	80.3085305	5.150540542	32.20017397	52.48234203	23.6309911	39013
2085	Jefferson	67.56554183	33.19617685	38.58714722	6.640920301	3.90840158	86.00916439	32.82592799	16.90797757	25.29848163	35.1343239	4.765886383	17.31467341	39015
2086	Knox	66.66866606	18.12123381	62.12945079	83.24541734	45.0426185	43.87279974	82.09089778	14.52679639	95.04537863	99.78909163	15.13790611	92.64328416	39017
2087	Lake	91.55634378	82.42583215	52.64467255	74.33998539	70.23621882	35.66909662	14.8492409	81.53015809	37.98481697	90.57764682	88.6716974	86.39435074	39019
2088	Lawrence	90.03529695	30.0025455	60.89731795	68.00490353	83.11945303	77.38585278	23.94534415	13.67666254	69.2455287	10.50569583	10.58750731	10.65390397	39021
2089	Licking	77.26096109	96.43191024	67.67390403	98.72995287	53.0106254	42.46240906	68.02996836	51.36844039	94.14092998	20.68407952	88.08789842	63.55874697	39023
2090	Logan	67.77418587	85.6664062	50.40588906	62.62801621	35.04269318	81.14817429	94.51584947	25.09025531	89.46782705	22.35622955	18.71549396	90.92728318	39025
2091	Lorain	11.88761053	80.22884669	89.13510652	80.49012242	20.63504611	85.32425106	18.43964218	44.36181444	85.740728	91.53135282	43.98302567	52.83078351	39027
2092	Lucas	75.03646144	15.39573668	48.00226689	75.75986367	94.05864521	30.92613433	47.53815466	84.65625803	80.04490501	63.74634217	26.65254556	40.81376009	39029
2093	Madison	59.71577203	42.5408539	39.54477001	62.13080624	85.83595207	18.73986782	4.959215162	10.92877509	27.59098365	28.80676078	12.07928341	87.35890471	39031
2094	Mahoning	69.13046938	99.86522632	45.14628431	29.29783722	69.5011603	87.99912954	47.81402995	40.7365487	62.80541223	51.65293809	45.14193053	60.26588314	39033
2095	Marion	41.30629261	67.97734048	62.02912312	85.41565574	31.89634739	5.001717235	4.254597484	43.30271202	47.89259572	99.74883408	59.59786965	80.94526524	39035
